紀錄時間,類別,機組,發電量(MW),備註
2026-01-19 11:25,,核三Gas2,-,-
2026-01-19 11:25,,台中Gas1&amp;2,140.0,0.000%
2026-01-19 11:25,,台中Gas3&amp;4,140.0,0.000%
2026-01-19 11:25,,金門塔山(註4),113.3,33.453%
2026-01-19 11:25,,馬祖珠山(註4),28.6,31.425%
2026-01-19 11:25,,離島其他(註4),41.2,N/A
2026-01-19 11:25,,小計,463.2(0.803%),
2026-01-19 11:25,,德基#1,78.0,71.795%
2026-01-19 11:25,,德基#2,78.0,0.000%
2026-01-19 11:25,,德基#3,78.0,0.000%
2026-01-19 11:25,,青山#1,92.0,16.957%
2026-01-19 11:25,,青山#2,92.0,17.717%
2026-01-19 11:25,,青山#3,92.0,17.717%
2026-01-19 11:25,,青山#4,92.0,17.174%
2026-01-19 11:25,,谷關#1,54.4,0.000%
2026-01-19 11:25,,谷關#2,54.4,21.304%
2026-01-19 11:25,,谷關#3,54.4,0.000%
2026-01-19 11:25,,谷關#4,54.4,0.000%
2026-01-19 11:25,,天輪#1,22.5,0.000%
2026-01-19 11:25,,天輪#2,22.5,0.000%
2026-01-19 11:25,,天輪#3,22.5,0.000%
2026-01-19 11:25,,天輪#4,22.5,0.000%
2026-01-19 11:25,,天輪#5,105.0,0.000%
2026-01-19 11:25,,馬鞍#1,66.7,13.485%
2026-01-19 11:25,,馬鞍#2,66.7,0.000%
2026-01-19 11:25,,卓蘭#1,40.0,0.000%
2026-01-19 11:25,,卓蘭#2,40.0,100.000%
2026-01-19 11:25,,萬大#1,10.4,0.000%
2026-01-19 11:25,,萬大#2,10.4,96.618%
2026-01-19 11:25,,萬大#3,15.3,0.000%
2026-01-19 11:25,,萬大#4,19.7,0.000%
2026-01-19 11:25,,松林#1&amp;2,20.9,0.000%
2026-01-19 11:25,,大觀一#1,22.0,8.182%
2026-01-19 11:25,,大觀一#2,22.0,0.000%
2026-01-19 11:25,,大觀一#3,22.0,6.364%
2026-01-19 11:25,,大觀一#4,22.0,7.273%
2026-01-19 11:25,,大觀一#5,22.0,6.364%
2026-01-19 11:25,,鉅工#1,21.8,0.000%
2026-01-19 11:25,,鉅工#2,21.8,0.000%
2026-01-19 11:25,,水里#1,12.8,0.002%
2026-01-19 11:25,,立霧#1&amp;#2,32.0,0.000%
2026-01-19 11:25,,龍澗#1,48.6,0.000%
2026-01-19 11:25,,龍澗#2,48.6,62.140%
2026-01-19 11:25,,碧海,61.2,80.392%
2026-01-19 11:25,,烏來&amp;桂山&amp;粗坑,40.5,42.963%
2026-01-19 11:25,,北部小水力(註6),31.1,71.978%
2026-01-19 11:25,,中部小水力(註6),31.3,11.184%
2026-01-19 11:25,,南部小水力(註6),7.2,51.604%
2026-01-19 11:25,,東部小水力(註6),54.6,60.623%
2026-01-19 11:25,,翡翠#1,70.0,108.714%
2026-01-19 11:25,,石門#1,45.0,0.000%
2026-01-19 11:25,,石門#2,45.0,101.111%
2026-01-19 11:25,,曾文#1,50.0,100.200%
2026-01-19 11:25,,義興#1,40.0,0.000%
2026-01-19 11:25,,名間,16.7,0.000%
2026-01-19 11:25,,嘉南西口、烏山頭和八田,22.5,25.817%
2026-01-19 11:25,,卑南,2.0,40.404%
2026-01-19 11:25,,捷祥關山,1.0,0.000%
2026-01-19 11:25,,其它購電小水力,6.1,N/A
2026-01-19 11:25,,小計(註5),2124.4(3.683%),
2026-01-19 11:25,陸域風力台電自有(註13),觀園,30.0,95.040%
2026-01-19 11:25,陸域風力台電自有(註13),台中港,35.0,82.000%
2026-01-19 11:25,陸域風力台電自有(註13),王功,23.0,93.478%
2026-01-19 11:25,陸域風力台電自有(註13),彰工,86.2,70.650%
2026-01-19 11:25,陸域風力台電自有(註13),雲麥,46.0,52.609%
2026-01-19 11:25,陸域風力台電自有(註13),四湖,28.0,61.071%
2026-01-19 11:25,陸域風力台電自有(註13),其它台電自有,84.7,62.780%
2026-01-19 11:25,陸域風力購電(註13),苗栗大鵬,42.0,85.476%
2026-01-19 11:25,陸域風力購電(註13),鹿威彰濱,55.2,74.094%
2026-01-19 11:25,陸域風力購電(註13),觀威觀音&amp;桃威新屋,48.3,84.058%
2026-01-19 11:25,陸域風力購電(註13),中威大安,75.9,88.274%
2026-01-19 11:25,陸域風力購電(註13),創維風,49.2,88.618%
2026-01-19 11:25,陸域風力購電(註13),新源崙背,25.2,65.079%
2026-01-19 11:25,陸域風力購電(註13),彰品風(註10),-,-
2026-01-19 11:25,陸域風力購電(註13),其它購電風力,178.4,36.547%
2026-01-19 11:25,離岸風力台電自有(註13),離岸一期,109.2,94.359%
2026-01-19 11:25,離岸風力台電自有(註13),離岸二期(註10),-,-
2026-01-19 11:25,離岸風力購電(註13),海洋竹南,128.0,95.938%
2026-01-19 11:25,離岸風力購電(註13),海能風,376.0,90.266%
2026-01-19 11:25,離岸風力購電(註13),沃一風,605.2,90.176%
2026-01-19 11:25,離岸風力購電(註13),沃二風,294.8,98.410%
2026-01-19 11:25,離岸風力購電(註13),沃四風(註10),-,-
2026-01-19 11:25,離岸風力購電(註13),沃南風(註10),-,-
2026-01-19 11:25,離岸風力購電(註13),芳一風,96.0,93.333%
2026-01-19 11:25,離岸風力購電(註13),芳二風,451.2,77.199%
2026-01-19 11:25,離岸風力購電(註13),允湖(註10),-,-
2026-01-19 11:25,離岸風力購電(註13),允西(註10),-,-
2026-01-19 11:25,離岸風力購電(註13),中能風(註10),-,-
2026-01-19 11:25,離岸風力購電(註13),龍A風(註10),-,-
2026-01-19 11:25,離岸風力購電(註13),龍B風(註10),-,-
2026-01-19 11:25,,小計,2867.5(4.971%),
2026-01-19 11:25,太陽能台電自有(註13),彰濱光,100.0,0.000%
2026-01-19 11:25,太陽能台電自有(註13),南鹽光,150.0,0.000%
2026-01-19 11:25,太陽能台電自有(註13),其它台電自有,24.3,0.000%
2026-01-19 11:25,太陽能購電(註13),崙尾光,-,-
2026-01-19 11:25,太陽能購電(註13),天衝光,-,-
2026-01-19 11:25,太陽能購電(註13),天篷光,80.0,0.000%
2026-01-19 11:25,太陽能購電(註13),寶興光(註10),-,-
2026-01-19 11:25,太陽能購電(註13),聯華光(註10),-,-
2026-01-19 11:25,太陽能購電(註13),向陽光(註10),-,-
2026-01-19 11:25,太陽能購電(註13),星崴光(註10),-,-
2026-01-19 11:25,太陽能購電(註13),碩力光(註10),-,-
2026-01-19 11:25,太陽能購電(註13),天英光(註10),-,-
2026-01-19 11:25,太陽能購電(註13),志光光(註10),-,-
2026-01-19 11:25,太陽能購電(註13),永堯光(註10),-,-
2026-01-19 11:25,太陽能購電(註13),昱昶光(註10),-,-
2026-01-19 11:25,太陽能購電(註13),星崙光(註10),-,-
2026-01-19 11:25,太陽能購電(註13),新和光(註10),-,-
2026-01-19 11:25,太陽能購電(註13),生利光(註10),-,-
2026-01-19 11:25,太陽能購電(註13),廷和光(註10),-,-
2026-01-19 11:25,太陽能購電(註13),星股光(註10),-,-
2026-01-19 11:25,太陽能購電(註13),其它購電太陽能,14327.6,0.000%
2026-01-19 11:25,,小計,14681.9(25.453%),
2026-01-19 11:25,,台電自有地熱,0.8,0.000%
2026-01-19 11:25,,購電地熱,6.4,44.968%
2026-01-19 11:25,,生質能(Biofuel),60.7,66.601%
2026-01-19 11:25,,小計,67.9(0.118%),
2026-01-19 11:25,抽蓄水力(Pumped Hydro),大觀二#1,250.0,59.480%
2026-01-19 11:25,抽蓄水力(Pumped Hydro),大觀二#2,250.0,62.440%
2026-01-19 11:25,抽蓄水力(Pumped Hydro),大觀二#3,250.0,0.000%
2026-01-19 11:25,抽蓄水力(Pumped Hydro),大觀二#4,250.0,56.120%
2026-01-19 11:25,抽蓄水力(Pumped Hydro),明潭#1,267.0,66.404%
2026-01-19 11:25,抽蓄水力(Pumped Hydro),明潭#2,267.0,0.000%
2026-01-19 11:25,抽蓄水力(Pumped Hydro),明潭#3,267.0,66.030%
2026-01-19 11:25,抽蓄水力(Pumped Hydro),明潭#4,267.0,55.543%
2026-01-19 11:25,抽蓄水力(Pumped Hydro),明潭#5,267.0,0.000%
2026-01-19 11:25,抽蓄水力(Pumped Hydro),明潭#6,267.0,54.045%
2026-01-19 11:25,電池(Battery),電池(註16),811.8,28.295%
2026-01-19 11:25,,小計,3413.8(5.918%),
2026-01-19 11:25,抽蓄水力(Pumped Hydro),大觀二#1,-,-
2026-01-19 11:25,抽蓄水力(Pumped Hydro),大觀二#2,-,-
2026-01-19 11:25,抽蓄水力(Pumped Hydro),大觀二#3,-,-
2026-01-19 11:25,抽蓄水力(Pumped Hydro),大觀二#4,-,-
2026-01-19 11:25,抽蓄水力(Pumped Hydro),明潭#1,-,-
2026-01-19 11:25,抽蓄水力(Pumped Hydro),明潭#2,-,-
2026-01-19 11:25,抽蓄水力(Pumped Hydro),明潭#3,-,-
2026-01-19 11:25,抽蓄水力(Pumped Hydro),明潭#4,-,-
2026-01-19 11:25,抽蓄水力(Pumped Hydro),明潭#5,-,-
2026-01-19 11:25,抽蓄水力(Pumped Hydro),明潭#6,-,-
2026-01-19 11:25,電池(Battery),電池(註16),-,-
2026-01-19 14:32,,林口#1,800.0,94.475%
2026-01-19 14:32,,林口#2,800.0,0.000%
2026-01-19 14:32,,林口#3,800.0,94.650%
2026-01-19 14:32,,台中#1,550.0,67.145%
2026-01-19 14:32,,台中#2,550.0,69.073%
2026-01-19 14:32,,台中#3,550.0,70.145%
2026-01-19 14:32,,台中#4,550.0,0.000%
2026-01-19 14:32,,台中#5,550.0,68.927%
2026-01-19 14:32,,台中#6,550.0,0.000%
2026-01-19 14:32,,台中#7,550.0,68.982%
2026-01-19 14:32,,台中#8,550.0,70.109%
2026-01-19 14:32,,台中#9,550.0,0.000%
2026-01-19 14:32,,台中#10,550.0,90.273%
2026-01-19 14:32,,興達#1(註15),-,-
2026-01-19 14:32,,興達#2(註15),-,-
2026-01-19 14:32,,興達#3(註15),-,-
2026-01-19 14:32,,興達#4(註12),550.0,0.000%
2026-01-19 14:32,,大林#1,800.0,0.000%
2026-01-19 14:32,,大林#2,800.0,94.738%
2026-01-19 14:32,,小計,10050.0(17.423%),
2026-01-19 14:32,,汽電共生,631.4,-
2026-01-19 14:32,,小計,631.4(1.095%),
2026-01-19 14:32,,和平#1,648.6,92.452%
2026-01-19 14:32,,和平#2,660.0,89.621%
2026-01-19 14:32,,小計,1308.6(2.269%),
2026-01-19 14:32,,大潭CC#1,742.7,0.000%
2026-01-19 14:32,,大潭CC#2,742.7,61.048%
2026-01-19 14:32,,大潭CC#3,724.7,92.811%
2026-01-19 14:32,,大潭CC#4,724.7,88.299%
2026-01-19 14:32,,大潭CC#5,724.7,90.851%
2026-01-19 14:32,,大潭CC#6,724.7,94.922%
2026-01-19 14:32,,大潭CC#7(註10),-,-
2026-01-19 14:32,,大潭CC#8,1123.6,0.000%
2026-01-19 14:32,,大潭CC#9,1123.6,99.695%
2026-01-19 14:32,,通霄CC#1,892.6,102.151%
2026-01-19 14:32,,通霄CC#2,892.6,102.823%
2026-01-19 14:32,,通霄CC#3,892.6,103.014%
2026-01-19 14:32,,通霄CC#6,321.2,96.171%
2026-01-19 14:32,,通霄GT#9,180.9,0.000%
2026-01-19 14:32,,台中CC#1(註10),-,-
2026-01-19 14:32,,興達新CC#1,1300.0,20.962%
2026-01-19 14:32,,興達新CC#2(註10),-,-
2026-01-19 14:32,,興達CC#1,445.2,68.959%
2026-01-19 14:32,,興達CC#2,445.2,48.002%
2026-01-19 14:32,,興達CC#3,445.2,0.000%
2026-01-19 14:32,,興達CC#4,445.2,70.532%
2026-01-19 14:32,,興達CC#5,445.2,0.000%
2026-01-19 14:32,,南部CC#1,288.8,50.104%
2026-01-19 14:32,,南部CC#2,288.8,104.259%
2026-01-19 14:32,,南部CC#3,288.8,105.090%
2026-01-19 14:32,,南部CC#4,251.4,98.846%
2026-01-19 14:32,,大林#5,-,-
2026-01-19 14:32,,大林#6,550.0,53.909%
2026-01-19 14:32,,小計,15005.0(26.013%),
2026-01-19 14:32,,海湖#1,450.0,102.022%
2026-01-19 14:32,,新桃#1,630.0,0.000%
2026-01-19 14:32,,國光#1,480.0,102.417%
2026-01-19 14:32,,星彰#1,506.9,103.679%
2026-01-19 14:32,,星元#1,549.1,98.598%
2026-01-19 14:32,,嘉惠#1,700.0,0.000%
2026-01-19 14:32,,嘉惠#2,510.0,97.627%
2026-01-19 14:32,,豐德#1,506.9,49.935%
2026-01-19 14:32,,豐德#2,506.9,105.474%
2026-01-19 14:32,,豐德#3,1100.0,98.845%
2026-01-19 14:32,,小計,5939.7(10.297%),
2026-01-19 14:32,,協和#3,500.0,28.620%
2026-01-19 14:32,,協和#4,500.0,28.120%
2026-01-19 14:32,,澎湖尖山(註4),129.8,33.513%
2026-01-19 14:32,,小計,1129.8(1.959%),
2026-01-19 14:32,,核二Gas1,-,-
2026-01-19 14:32,,核二Gas2,-,-
2026-01-19 14:32,,核三Gas1,-,-
2026-01-19 14:32,,核三Gas2,-,-
2026-01-19 14:32,,台中Gas1&amp;2,140.0,0.000%
2026-01-19 14:32,,台中Gas3&amp;4,140.0,0.000%
2026-01-19 14:32,,金門塔山(註4),113.3,31.070%
2026-01-19 14:32,,馬祖珠山(註4),28.6,32.472%
2026-01-19 14:32,,離島其他(註4),41.2,N/A
2026-01-19 14:32,,小計,463.2(0.803%),
2026-01-19 14:32,,德基#1,78.0,64.359%
2026-01-19 14:32,,德基#2,78.0,0.000%
2026-01-19 14:32,,德基#3,78.0,0.000%
2026-01-19 14:32,,青山#1,92.0,17.717%
2026-01-19 14:32,,青山#2,92.0,16.630%
2026-01-19 14:32,,青山#3,92.0,16.196%
2026-01-19 14:32,,青山#4,92.0,16.630%
2026-01-19 14:32,,谷關#1,54.4,0.000%
2026-01-19 14:32,,谷關#2,54.4,23.875%
2026-01-19 14:32,,谷關#3,54.4,0.000%
2026-01-19 14:32,,谷關#4,54.4,0.000%
2026-01-19 14:32,,天輪#1,22.5,0.000%
2026-01-19 14:32,,天輪#2,22.5,0.000%
2026-01-19 14:32,,天輪#3,22.5,0.000%
2026-01-19 14:32,,天輪#4,22.5,0.000%
2026-01-19 14:32,,天輪#5,105.0,0.000%
2026-01-19 14:32,,馬鞍#1,66.7,13.785%
2026-01-19 14:32,,馬鞍#2,66.7,0.000%
2026-01-19 14:32,,卓蘭#1,40.0,0.000%
2026-01-19 14:32,,卓蘭#2,40.0,0.000%
2026-01-19 14:32,,萬大#1,10.4,0.000%
2026-01-19 14:32,,萬大#2,10.4,0.000%
2026-01-19 14:32,,萬大#3,15.3,0.000%
2026-01-19 14:32,,萬大#4,19.7,0.000%
2026-01-19 14:32,,松林#1&amp;2,20.9,0.000%
2026-01-19 14:32,,大觀一#1,22.0,9.091%
2026-01-19 14:32,,大觀一#2,22.0,0.000%
2026-01-19 14:32,,大觀一#3,22.0,6.818%
2026-01-19 14:32,,大觀一#4,22.0,8.182%
2026-01-19 14:32,,大觀一#5,22.0,6.818%
2026-01-19 14:32,,鉅工#1,21.8,0.000%
2026-01-19 14:32,,鉅工#2,21.8,0.000%
2026-01-19 14:32,,水里#1,12.8,0.002%
2026-01-19 14:32,,立霧#1&amp;#2,32.0,0.000%
2026-01-19 14:32,,龍澗#1,48.6,0.000%
2026-01-19 14:32,,龍澗#2,48.6,0.000%
2026-01-19 14:32,,碧海,61.2,80.392%
2026-01-19 14:32,,烏來&amp;桂山&amp;粗坑,40.5,40.000%
2026-01-19 14:32,,北部小水力(註6),31.1,71.978%
2026-01-19 14:32,,中部小水力(註6),31.3,10.864%
2026-01-19 14:32,,南部小水力(註6),7.2,51.604%
2026-01-19 14:32,,東部小水力(註6),54.6,53.663%
2026-01-19 14:32,,翡翠#1,70.0,0.000%
2026-01-19 14:32,,石門#1,45.0,0.000%
2026-01-19 14:32,,石門#2,45.0,0.000%
2026-01-19 14:32,,曾文#1,50.0,98.600%
2026-01-19 14:32,,義興#1,40.0,30.250%
2026-01-19 14:32,,名間,16.7,0.000%
2026-01-19 14:32,,嘉南西口、烏山頭和八田,22.5,26.262%
2026-01-19 14:32,,卑南,2.0,45.455%
2026-01-19 14:32,,捷祥關山,1.0,0.000%
2026-01-19 14:32,,其它購電小水力,6.1,N/A
2026-01-19 14:32,,小計(註5),2124.4(3.683%),
2026-01-19 14:32,陸域風力台電自有(註13),觀園,30.0,95.220%
2026-01-19 14:32,陸域風力台電自有(註13),台中港,35.0,74.571%
2026-01-19 14:32,陸域風力台電自有(註13),王功,23.0,86.522%
2026-01-19 14:32,陸域風力台電自有(註13),彰工,86.2,58.933%
2026-01-19 14:32,陸域風力台電自有(註13),雲麥,46.0,12.391%
2026-01-19 14:32,陸域風力台電自有(註13),四湖,28.0,18.214%
2026-01-19 14:32,陸域風力台電自有(註13),其它台電自有,84.7,43.073%
2026-01-19 14:32,陸域風力購電(註13),苗栗大鵬,42.0,81.429%
2026-01-19 14:32,陸域風力購電(註13),鹿威彰濱,55.2,52.174%
2026-01-19 14:32,陸域風力購電(註13),觀威觀音&amp;桃威新屋,48.3,85.714%
2026-01-19 14:32,陸域風力購電(註13),中威大安,75.9,92.622%
2026-01-19 14:32,陸域風力購電(註13),創維風,49.2,51.829%
2026-01-19 14:32,陸域風力購電(註13),新源崙背,25.2,42.460%
2026-01-19 14:32,陸域風力購電(註13),彰品風(註10),-,-
2026-01-19 14:32,陸域風力購電(註13),其它購電風力,178.4,30.381%
2026-01-19 14:32,離岸風力台電自有(註13),離岸一期,109.2,94.359%
2026-01-19 14:32,離岸風力台電自有(註13),離岸二期(註10),-,-
2026-01-19 14:32,離岸風力購電(註13),海洋竹南,128.0,95.781%
2026-01-19 14:32,離岸風力購電(註13),海能風,376.0,90.479%
2026-01-19 14:32,離岸風力購電(註13),沃一風,605.2,89.660%
2026-01-19 14:32,離岸風力購電(註13),沃二風,294.8,98.315%
2026-01-19 14:32,離岸風力購電(註13),沃四風(註10),-,-
2026-01-19 14:32,離岸風力購電(註13),沃南風(註10),-,-
2026-01-19 14:32,離岸風力購電(註13),芳一風,96.0,93.333%
2026-01-19 14:32,離岸風力購電(註13),芳二風,451.2,79.189%
2026-01-19 14:32,離岸風力購電(註13),允湖(註10),-,-
2026-01-19 14:32,離岸風力購電(註13),允西(註10),-,-
2026-01-19 14:32,離岸風力購電(註13),中能風(註10),-,-
2026-01-19 14:32,離岸風力購電(註13),龍A風(註10),-,-
2026-01-19 14:32,離岸風力購電(註13),龍B風(註10),-,-
2026-01-19 14:32,,小計,2867.5(4.971%),
2026-01-19 14:32,太陽能台電自有(註13),彰濱光,100.0,0.000%
2026-01-19 14:32,太陽能台電自有(註13),南鹽光,150.0,0.000%
2026-01-19 14:32,太陽能台電自有(註13),其它台電自有,24.3,0.000%
2026-01-19 14:32,太陽能購電(註13),崙尾光,-,-
2026-01-19 14:32,太陽能購電(註13),天衝光,-,-
2026-01-19 14:32,太陽能購電(註13),天篷光,80.0,0.000%
2026-01-19 14:32,太陽能購電(註13),寶興光(註10),-,-
2026-01-19 14:32,太陽能購電(註13),聯華光(註10),-,-
2026-01-19 14:32,太陽能購電(註13),向陽光(註10),-,-
2026-01-19 14:32,太陽能購電(註13),星崴光(註10),-,-
2026-01-19 14:32,太陽能購電(註13),碩力光(註10),-,-
2026-01-19 14:32,太陽能購電(註13),天英光(註10),-,-
2026-01-19 14:32,太陽能購電(註13),志光光(註10),-,-
2026-01-19 14:32,太陽能購電(註13),永堯光(註10),-,-
2026-01-19 14:32,太陽能購電(註13),昱昶光(註10),-,-
2026-01-19 14:32,太陽能購電(註13),星崙光(註10),-,-
2026-01-19 14:32,太陽能購電(註13),新和光(註10),-,-
2026-01-19 14:32,太陽能購電(註13),生利光(註10),-,-
2026-01-19 14:32,太陽能購電(註13),廷和光(註10),-,-
2026-01-19 14:32,太陽能購電(註13),星股光(註10),-,-
2026-01-19 14:32,太陽能購電(註13),其它購電太陽能,14327.6,0.000%
2026-01-19 14:32,,小計,14681.9(25.453%),
2026-01-19 14:32,,台電自有地熱,0.8,0.000%
2026-01-19 14:32,,購電地熱,6.4,44.968%
2026-01-19 14:32,,生質能(Biofuel),60.7,56.050%
2026-01-19 14:32,,小計,67.9(0.118%),
2026-01-19 14:32,抽蓄水力(Pumped Hydro),大觀二#1,250.0,78.040%
2026-01-19 14:32,抽蓄水力(Pumped Hydro),大觀二#2,250.0,0.000%
2026-01-19 14:32,抽蓄水力(Pumped Hydro),大觀二#3,250.0,0.000%
2026-01-19 14:32,抽蓄水力(Pumped Hydro),大觀二#4,250.0,78.200%
2026-01-19 14:32,抽蓄水力(Pumped Hydro),明潭#1,267.0,66.030%
2026-01-19 14:32,抽蓄水力(Pumped Hydro),明潭#2,267.0,0.000%
2026-01-19 14:32,抽蓄水力(Pumped Hydro),明潭#3,267.0,69.401%
2026-01-19 14:32,抽蓄水力(Pumped Hydro),明潭#4,267.0,60.337%
2026-01-19 14:32,抽蓄水力(Pumped Hydro),明潭#5,267.0,0.000%
2026-01-19 14:32,抽蓄水力(Pumped Hydro),明潭#6,267.0,90.824%
2026-01-19 14:32,電池(Battery),電池(註16),811.8,0.000%
2026-01-19 14:32,,小計,3413.8(5.918%),
2026-01-19 14:32,抽蓄水力(Pumped Hydro),大觀二#1,-,-
2026-01-19 14:32,抽蓄水力(Pumped Hydro),大觀二#2,-,-
2026-01-19 14:32,抽蓄水力(Pumped Hydro),大觀二#3,-,-
2026-01-19 14:32,抽蓄水力(Pumped Hydro),大觀二#4,-,-
2026-01-19 14:32,抽蓄水力(Pumped Hydro),明潭#1,-,-
2026-01-19 14:32,抽蓄水力(Pumped Hydro),明潭#2,-,-
2026-01-19 14:32,抽蓄水力(Pumped Hydro),明潭#3,-,-
2026-01-19 14:32,抽蓄水力(Pumped Hydro),明潭#4,-,-
2026-01-19 14:32,抽蓄水力(Pumped Hydro),明潭#5,-,-
2026-01-19 14:32,抽蓄水力(Pumped Hydro),明潭#6,-,-
2026-01-19 14:32,電池(Battery),電池(註16),-,-
2026-01-19 21:24,,林口#1,800.0,94.625%
2026-01-19 21:24,,林口#2,800.0,0.000%
2026-01-19 21:24,,林口#3,800.0,94.738%
2026-01-19 21:24,,台中#1,550.0,66.018%
2026-01-19 21:24,,台中#2,550.0,68.509%
2026-01-19 21:24,,台中#3,550.0,68.964%
2026-01-19 21:24,,台中#4,550.0,0.000%
2026-01-19 21:24,,台中#5,550.0,69.036%
2026-01-19 21:24,,台中#6,550.0,0.000%
2026-01-19 21:24,,台中#7,550.0,67.127%
2026-01-19 21:24,,台中#8,550.0,67.582%
2026-01-19 21:24,,台中#9,550.0,0.000%
2026-01-19 21:24,,台中#10,550.0,64.273%
2026-01-19 21:24,,興達#1(註15),-,-
2026-01-19 21:24,,興達#2(註15),-,-
2026-01-19 21:24,,興達#3(註15),-,-
2026-01-19 21:24,,興達#4(註12),550.0,0.000%
2026-01-19 21:24,,大林#1,800.0,0.000%
2026-01-19 21:24,,大林#2,800.0,94.738%
2026-01-19 21:24,,小計,10050.0(17.422%),
2026-01-19 21:24,,汽電共生,631.4,-
2026-01-19 21:24,,小計,631.4(1.095%),
2026-01-19 21:24,,和平#1,648.6,88.089%
2026-01-19 21:24,,和平#2,660.0,85.485%
2026-01-19 21:24,,小計,1308.6(2.268%),
2026-01-19 21:24,,大潭CC#1,742.7,0.000%
2026-01-19 21:24,,大潭CC#2,742.7,56.389%
2026-01-19 21:24,,大潭CC#3,724.7,56.189%
2026-01-19 21:24,,大潭CC#4,724.7,85.125%
2026-01-19 21:24,,大潭CC#5,724.7,89.637%
2026-01-19 21:24,,大潭CC#6,724.7,86.891%
2026-01-19 21:24,,大潭CC#7(註10),-,-
2026-01-19 21:24,,大潭CC#8,1123.6,0.000%
2026-01-19 21:24,,大潭CC#9,1123.6,100.282%
2026-01-19 21:24,,通霄CC#1,892.6,103.417%
2026-01-19 21:24,,通霄CC#2,892.6,103.451%
2026-01-19 21:24,,通霄CC#3,892.6,104.963%
2026-01-19 21:24,,通霄CC#6,321.2,96.575%
2026-01-19 21:24,,通霄GT#9,180.9,0.000%
2026-01-19 21:24,,台中CC#1(註10),-,-
2026-01-19 21:24,,興達新CC#1,1300.0,21.208%
2026-01-19 21:24,,興達新CC#2(註10),-,-
2026-01-19 21:24,,興達CC#1,445.2,56.987%
2026-01-19 21:24,,興達CC#2,445.2,52.000%
2026-01-19 21:24,,興達CC#3,445.2,0.000%
2026-01-19 21:24,,興達CC#4,445.2,69.790%
2026-01-19 21:24,,興達CC#5,445.2,0.000%
2026-01-19 21:24,,南部CC#1,288.8,49.965%
2026-01-19 21:24,,南部CC#2,288.8,104.051%
2026-01-19 21:24,,南部CC#3,288.8,104.744%
2026-01-19 21:24,,南部CC#4,251.4,99.165%
2026-01-19 21:24,,大林#5,-,-
2026-01-19 21:24,,大林#6,550.0,53.909%
2026-01-19 21:24,,小計,15005.0(26.012%),
2026-01-19 21:24,,海湖#1,450.0,102.156%
2026-01-19 21:24,,新桃#1,630.0,0.000%
2026-01-19 21:24,,國光#1,480.0,102.729%
2026-01-19 21:24,,星彰#1,506.9,91.249%
2026-01-19 21:24,,星元#1,549.1,87.343%
2026-01-19 21:24,,嘉惠#1,700.0,0.000%
2026-01-19 21:24,,嘉惠#2,510.0,0.000%
2026-01-19 21:24,,豐德#1,506.9,50.014%
2026-01-19 21:24,,豐德#2,506.9,90.736%
2026-01-19 21:24,,豐德#3,1100.0,98.691%
2026-01-19 21:24,,小計,5939.7(10.297%),
2026-01-19 21:24,,協和#3,500.0,28.620%
2026-01-19 21:24,,協和#4,500.0,28.120%
2026-01-19 21:24,,澎湖尖山(註4),129.8,21.726%
2026-01-19 21:24,,小計,1129.8(1.959%),
2026-01-19 21:24,,核二Gas1,-,-
2026-01-19 21:24,,核二Gas2,-,-
2026-01-19 21:24,,核三Gas1,-,-
2026-01-19 21:24,,核三Gas2,-,-
2026-01-19 21:24,,台中Gas1&amp;2,140.0,0.000%
2026-01-19 21:24,,台中Gas3&amp;4,140.0,0.000%
2026-01-19 21:24,,金門塔山(註4),113.3,22.773%
2026-01-19 21:24,,馬祖珠山(註4),28.6,22.696%
2026-01-19 21:24,,離島其他(註4),41.2,N/A
2026-01-19 21:24,,小計,463.2(0.803%),
2026-01-19 21:24,,德基#1,78.0,0.000%
2026-01-19 21:24,,德基#2,78.0,0.000%
2026-01-19 21:24,,德基#3,78.0,0.000%
2026-01-19 21:24,,青山#1,92.0,0.000%
2026-01-19 21:24,,青山#2,92.0,0.000%
2026-01-19 21:24,,青山#3,92.0,0.000%
2026-01-19 21:24,,青山#4,92.0,0.000%
2026-01-19 21:24,,谷關#1,54.4,0.000%
2026-01-19 21:24,,谷關#2,54.4,19.284%
2026-01-19 21:24,,谷關#3,54.4,0.000%
2026-01-19 21:24,,谷關#4,54.4,0.000%
2026-01-19 21:24,,天輪#1,22.5,0.000%
2026-01-19 21:24,,天輪#2,22.5,0.000%
2026-01-19 21:24,,天輪#3,22.5,0.000%
2026-01-19 21:24,,天輪#4,22.5,0.000%
2026-01-19 21:24,,天輪#5,105.0,0.000%
2026-01-19 21:24,,馬鞍#1,66.7,12.586%
2026-01-19 21:24,,馬鞍#2,66.7,0.000%
2026-01-19 21:24,,卓蘭#1,40.0,0.000%
2026-01-19 21:24,,卓蘭#2,40.0,0.000%
2026-01-19 21:24,,萬大#1,10.4,0.000%
2026-01-19 21:24,,萬大#2,10.4,0.000%
2026-01-19 21:24,,萬大#3,15.3,0.000%
2026-01-19 21:24,,萬大#4,19.7,0.000%
2026-01-19 21:24,,松林#1&amp;2,20.9,0.000%
2026-01-19 21:24,,大觀一#1,22.0,8.182%
2026-01-19 21:24,,大觀一#2,22.0,0.000%
2026-01-19 21:24,,大觀一#3,22.0,6.818%
